date,used
2015-09-10,18
2014-01-01,6598
2013-12-20,7
2014-12-20,28
2015-12-20,26
2002-01-01,2767
2015-01-01,10744
2016-03-15,46
2017-03-01,791
2016-04-01,917
2016-10-01,686
2016-11-01,679
2016-12-15,45
2016-03-01,568
2016-05-30,85
2016-12-01,701
2016-06-01,1306
1981-01-01,483
2016-05-01,2781
2017-05-01,1149
2015-06-01,955
2016-05-15,91
2016-10-30,105
2016-07-01,979
2017-07-01,1227
2016-08-01,853
2017-08-01,864
2016-01-01,11141
2017-01-01,12068
2017-01-11,45
2017-01-12,45
2016-08-15,122
2016-09-15,77
2017-04-07,71
2017-04-09,44
2017-04-10,98
2017-04-11,53
2016-12-14,31
2016-12-24,25
2017-01-02,61
2015-04-01,540
2000-01-01,7846
2013-04-15,38
2015-09-01,454
2008-01-01,2459
2010-04-01,276
2016-09-01,569
1990-01-01,1760
2021-01-01,4557
2005-01-01,2639
2019-01-01,17164
2020-12-01,1064
2014-03-18,4
2021-11-01,350
2021-08-01,638
2018-11-28,16
2018-01-01,15398
1970-01-01,4950
2013-01-01,5378
2014-12-13,7
2019-10-23,41
2020-10-06,30
2001-01-01,3970
2006-01-01,2041
2011-01-01,3493
2020-01-01,16995
2018-06-11,200
2020-03-12,50
2020-08-05,405
2015-12-01,536
2017-06-01,1487
2017-12-01,774
2018-06-01,2038
2018-12-01,1257
2019-06-01,2903
2019-12-01,1444
2020-06-01,2931
2000-06-01,445
1999-01-01,2344
2010-01-01,5886
2003-01-01,3459
2012-01-01,2966
2001-07-01,205
2005-07-01,172
2010-07-01,257
1998-01-01,838
2004-01-01,2057
2018-07-01,1682
2019-07-01,2807
2006-07-01,136
2011-07-01,177
1985-01-01,747
2010-10-01,156
2010-06-01,432
2017-04-01,1185
2017-10-01,956
2016-12-31,1280
1980-01-01,427
2015-07-01,965
2001-06-02,5
2005-06-13,3
2019-10-01,1860
0001-01-01,19
2023-01-01,22
2021-09-01,713
2021-12-31,578
1997-01-01,400
2009-11-01,52
2021-10-14,14
2009-01-01,2429
1995-01-01,747
2004-01-10,4
2021-07-21,36
1984-01-01,1779
2002-07-01,131
2009-07-01,140
2003-06-01,946
2015-12-31,1070
2017-06-15,140
2011-05-01,183
2012-05-01,124
2016-02-01,782
2016-04-16,48
2016-05-16,56
2016-06-16,45
2016-06-23,45
2004-07-01,102
2014-09-01,145
2007-06-01,239
2007-08-01,54
2016-12-25,92
2013-05-01,406
2016-09-05,17
2013-07-01,281
2016-06-02,33
2015-03-01,526
2015-05-25,40
2015-06-23,731
2016-10-09,20
2017-12-31,1527
2008-06-01,327
2009-06-01,320
2011-06-01,298
2012-06-01,249
2013-06-01,443
2014-06-01,813
2017-02-01,500
2016-05-04,35
2012-12-31,222
2012-12-25,67
2006-12-31,128
2011-09-01,65
2011-10-01,192
2013-04-07,58
1984-10-01,27
2014-02-01,160
2018-10-01,1535
2019-08-01,2366
2019-01-20,77
2020-07-01,2280
2020-05-01,2094
2018-08-01,1255
2019-10-15,167
2019-11-01,1605
2017-07-23,59
2017-07-29,50
2017-05-27,35
2017-05-30,77
2019-03-01,1846
2019-09-01,1573
2019-01-31,137
2008-03-01,92
2008-11-01,46
2009-05-01,109
2008-05-01,102
2020-09-01,1524
2019-04-01,2153
2004-06-01,241
2018-12-31,2313
2015-02-01,286
